时间序号,归一化流量,归一化液位,归一化设备性能,归一化温度,设备前端可能的影响因素1,设备前端可能的影响因素2,设备前端可能的影响因素3
1,0.536826969,0.784488321,0.246580434,0.518023501,0.989670242,0.540540541,0.271724649
2,0.021409171,0.810169054,0.293339298,0.503913397,0.990067541,0.376955903,0.390040029
3,0.005911487,0.778035876,0.281073464,0.497477139,0.994437823,0.20625889,0.535427806
4,0.006071257,0.75738805,0.277430865,0.487327504,0.998013508,0.149359886,0.592246144
5,0.02220802,0.789779326,0.286797484,0.473093398,0.99761621,0.12802276,0.643048027
6,0.005112638,0.807200929,0.301665162,0.458859291,0.998410807,0.120910384,0.642714018
7,0.004633328,0.807329978,0.307314951,0.44128351,0.998808105,0.113798009,0.64538793
8,0.017894232,0.807329978,0.309693744,0.425440415,0.996424315,0.120910384,0.65474601
9,0.004952868,0.807329978,0.310288486,0.410092417,0.996027016,0.120910384,0.654077379
10,0.002396549,0.807588076,0.319060363,0.39585831,1,0.120910384,0.657085607
11,0.004473558,0.807459027,0.327088945,0.387689367,0.990464839,0.120910384,0.669785925
12,0.02300687,0.807329978,0.329021725,0.394001621,0.967818832,0.113798009,0.667446634
13,0.532033871,0.795844625,0.249256616,0.418509061,0.957886373,0.092460882,0.724264666
14,0.523246525,0.883081688,0.264124294,0.452175638,0.943583631,0.092460882,0.695855803
15,0.531075252,0.874048264,0.262711924,0.483861827,0.944378228,0.092460882,0.707219165
16,0.531235022,0.875596851,0.262637526,0.495744149,0.959475566,0.092460882,0.716243542
17,0.016456303,0.88166215,0.298840357,0.499333524,0.96106476,0.106685633,0.71356963
18,0.020770091,0.869660601,0.296758846,0.521984275,0.944378228,0.12802276,0.722259385
19,0.540501678,0.916247258,0.268956289,0.544263627,0.930870083,0.149359886,0.727272894
20,0.544336156,0.897148019,0.266651799,0.577187406,0.933253874,0.177809388,0.71457227
21,0.526761463,0.929797393,0.272152858,0.608131103,0.882399682,0.170697013,0.751671195
22,0.531714331,0.880371661,0.264421647,0.608378499,0.88041319,0.170697013,0.781083005
23,0.520690206,0.882952639,0.26523937,0.598724265,0.882399682,0.263157895,0.731617772
24,0.515417798,0.901922829,0.268510259,0.583747666,0.953118792,0.20625889,0.804478665
25,0.531714331,0.904374758,0.268510259,0.568647064,0.969805324,0.192034139,0.845254143
26,0.521808596,0.92657117,0.272673191,0.555650851,0.977751291,0.263157895,0.845588458
27,0.526921233,0.888888889,0.266428843,0.534113992,0.988478347,0.227596017,0.85695182
28,0.004313788,0.917021551,0.305084799,0.505646083,0.981326977,0.241820768,0.863301978
29,0.020290781,0.870434895,0.296907577,0.487574901,0.972586412,0.213371266,0.902072481
